userName,score,at,content
reno Pramezwara03,2,2026-05-05 06:51:38,bug lagi jual buah tiba² di samperin pajak 750k anjg
RIZKA KISDI'AN FARDANA,5,2026-05-05 06:27:14,mantappl asix seru
Septio Lopo,5,2026-05-05 05:53:11,sudah oke saran saya untuk map nya agar bisa di perluas lagi dan juga kalok bisa di tambah kan upgred rumah kita agar bisa di jadikan seperti kyk PT PT sawit besar
Agung R,5,2026-05-05 05:53:01,"gamenya lumayan bagus,cuman mungkin hpku yg bermasalah atau apa,sering ngelag pas ngumpulin sawitnya,tpi gamenya lumayan menghibur mantap"
Assraf alfatir,5,2026-05-05 05:45:05,baguss
Zulfan Ashar,5,2026-05-05 05:44:57,sangat keren dan keren ada truk kesukaan ku
Umi Haikal,5,2026-05-05 05:42:17,Saya suka dan tidak nge-lag bagus juga lagi dan bisa Mabar dan saya bisa bagus pokoknya makanan mudah
Rivaldo Reno,1,2026-05-05 05:29:46,"apalh setiap mau menuju pabrik pasti patah-patah padahal sinyal bagus,hp ram 4, penyimpanan masih banyak.tolong di benerin dong masa hp ram sekecil ini gk bisa maen gimana"
Bang adam Doeloer,5,2026-05-05 05:26:27,bagus sekali game nya
Aditya,5,2026-05-05 04:12:26,sawit saya hilang tapi tidak apa apa yang penting game nya seru
Ridwansianida 13,5,2026-05-05 04:06:45,bagus
Jono Jono,5,2026-05-05 04:01:29,gamee nyaa sangattt bagusss saran sayaa sih sering sering di iklan kan di tiktok agar game ini bisa lebih majuu lagii
RIFKI Ikky,5,2026-05-05 03:50:51,gamenya bagus si tapi iklannya banyak dan bug nya pas kita mau ke pabrik ada iklan nya dan pa kita dalamnya itu ngeleg kali dan banyak bug nya
Aku Bangga,5,2026-05-05 03:33:17,kereen banget coooo
Imam Hamdani,1,2026-05-05 03:05:55,login susah sudah masuk ke akun Google tapi kembali ke game tidak dapat login
Tanzil Fathin,5,2026-05-05 02:51:39,keren con
Lukman Hakim,5,2026-05-05 02:16:08,game nya keren
M alfatih,3,2026-05-05 01:37:57,kok setelah aku menunggu sawitnya sambil main tik tok abis itu aku kembali kok gak ada sawitnya kenapa sihhh
Illi 17,3,2026-05-05 01:10:58,"ini mah ga main game, tapi nonton iklan"
M jibril Habibi s,5,2026-05-04 23:57:37,lebih di kembangkan lagi min👍
Ihsan Denai,5,2026-05-04 23:29:56,ini mainannya enak play store
Ilham Sunding,5,2026-05-04 23:04:37,bang developer game update lagi saranan saya update hari sabtu sama minggu bang dan tambahkan juga fitur fitur lainnya lagi bang pliss semoga di balas developer ya dan pas saya main game ya gelek2 dan gekeres game ya
Riski Stiker,5,2026-05-04 22:21:38,game nya lumayan bagus jadi nya aku kasih bintang 5
Khamil Fariz,1,2026-05-04 21:57:05,"tolong lh ini tikus hapus aja , ngeselin parah, sama monster sawit ini apalahh, 🤬"
Mursalin Usman,5,2026-05-04 20:28:14,"Seru bre, apalagi basic saya juga karyawan di forestree, tingkatkan terus Dev 👍🏻🌱"
Mukafi Nurum,5,2026-05-04 20:10:20,saran bagi pekerja jangan banyak stop dong kalo bisa meskipun kita of pekerja tetep lerja jadi enak pas login tinggal jual hasil sawitnya
lionel messi,1,2026-05-04 19:12:27,"monster diganti dengan orang pencuri buah, dan jumpscarenya diganti dengan jalan bergelombang. izin, game baru terlalu banyak iklan"
Pradika Atmaja,5,2026-05-04 19:11:52,bagus
Andreas Fredrick,5,2026-05-04 18:04:25,"gokil, mantap ni game"
